studentAlias,studentId,missionId,questionId,indicatorId,evidenceId,evidenceType,title,content,sourceTag,isVerified,timestamp
Petch,SD-2FJTN,m2,q6_fda,C2,ev_m2_1786851763441_02,SOURCE,SC05: ตรวจสอบเลข อย. ในฐานข้อมูลระบบสารสนเทศ,ค้นหาเลขที่จดแจ้ง อย. ในระบบ e-Submission ของสำนักงานคณะกรรมการอาหารและยา พบว่าเป็นเลขปลอมที่สวมรอยผลิตภัณฑ์น้ำผลไม้ชนิดอื่น,FDA Thailand Official Registry Database,TRUE,2026-08-15T16:42:43.441Z
Petch,SD-2FJTN,m3,q10_cctv,E2,ev_m3_1786851763441_02,COMPARISON,SC08: เปรียบเทียบกับคลิปฉบับเต็มจากกล้องวงจรปิด,เมื่อนำคลิปที่ถูกแชร์มาเทียบกับกล้องวงจรปิดของโรงเรียน พบว่าอาจารย์กำลังสาธิตการแสดงในบทเรียน ไม่ได้กำลังดุด่านักเรียนอย่างที่ถูกตัดต่อบิดเบือน,School CCTV High-Definition Archive,TRUE,2026-08-15T22:42:43.441Z
Petch,SD-2FJTN,m3,q12_student_voice,E4,ev_m3_1786851763441_04,STUDENT_VOICE,เสียงสะท้อนนักเรียนหลังผ่านภารกิจสืบสวน,ได้เรียนรู้ว่าไม่ควรแชร์หรือคอมเมนต์ด่าทอตามกระแสโซเชียล เพราะภาพและเสียงสามารถตัดต่อบิดเบือนได้ ต้องหาคลิปฉบับเต็มและพยานแวดล้อมก่อนเสมอ,Detective Reflection & Ethics Log,TRUE,2026-08-16T00:42:43.441Z
Petch,SD-2FJTN,m4,q14_bias,S2,ev_m4_1786851763441_02,REASON,SC11: ตรวจสอบผลประโยชน์ทับซ้อนและเจตนาแอบแฝง,พบว่าเพจที่ปล่อยข่าวลือมีการแทรกแบนเนอร์โฆษณาเว็บพนันออนไลน์และขายสินค้า เพื่อหาผลประโยชน์จากยอดเข้าชมและการแชร์ (Clickbait Marketing),Page Commercial Monetization Audit,TRUE,2026-08-16T02:42:43.441Z
Max,SD-68QME,m2,q03_c2,C2,ev_04_max_scm203,DATE,การตรวจสอบความสดใหม่ของข้อมูล,ประกาศกระทรวงสาธารณสุขฉบับนี้เป็นของปี 2562 ไม่ใช่สถานการณ์ปัจจุบัน นำมาแชร์ซ้ำทำให้เข้าใจผิด,SC-M2-03,TRUE,2026-08-15T13:33:15.300Z
Max,SD-68QME,m3,q07_m3,C4,ev_05_max_scm302,COMPARISON,เปรียบเทียบภาพต้นฉบับกับภาพแชร์,พบร่องรอยการตัดต่อเงาและปรับแต่งแสงในภาพขวดน้ำวิเศษ ทำให้ข้ออ้างรักษาทุกโรคขาดความน่าเชื่อถือ,SC-M3-02,TRUE,2026-08-15T13:41:20.150Z
Max,SD-68QME,m2,q7_doctor,C3,ev_m2_1786851763441_03,REASON,SC06: ข้อเท็จจริงและคำเตือนจากแพทย์ผู้เชี่ยวชาญ,แพทย์ผู้เชี่ยวชาญระบุว่าการดื่มน้ำหมักที่ไม่ผ่านการฆ่าเชื้ออาจทำให้ติดเชื้อในกระแสเลือด กรดเกินในกระเพาะ และเป็นอันตรายร้ายแรงถึงชีวิต,แถลงการณ์กรมการแพทย์และสมาคมมะเร็งวิทยา,TRUE,2026-08-15T17:42:43.441Z
Max,SD-68QME,m2,q8_revision,C4,ev_m2_1786851763441_04,REVISION,การปรับเปลี่ยนข้อสรุปหลังได้รับข้อมูลผลตรวจแล็บ,ตอนแรกเชื่อว่าอาจเป็นสมุนไพรพื้นบ้านที่ปลอดภัย แต่เมื่อเห็นผลตรวจแล็บที่พบสารปนเปื้อนโลหะหนักและเชื้อแบคทีเรีย จึงปรับข้อสรุปเป็นผลิตภัณฑ์อันตรายห้ามดื่มเด็ดขาด,Scientific Laboratory Report,TRUE,2026-08-15T18:42:43.441Z
Max,SD-68QME,m3,q11_account,E3,ev_m3_1786851763441_03,AUTHOR,SC09: ตรวจสอบบัญชีผู้โพสต์คลิปแฉในโซเชียลมีเดีย,บัญชีผู้โพสต์เป็นบัญชีอวตาร (Anonymous Account) สร้างขึ้นมาใหม่เพียง 2 ชั่วโมงก่อนปล่อยคลิป และไม่มีประวัติการโพสต์ข้อความอื่นใด,X (Twitter) Profile Forensic Audit,TRUE,2026-08-15T23:42:43.441Z
Max,SD-68QME,m4,q15_master,G1,ev_m4_1786851763441_03,DECISION,คำแถลงปิดคดีสืบสวนความจริงระดับปรมาจารย์ (Master Verdict),"สังเคราะห์ข้อมูลจาก 4 มิติ (ผู้ส่งสาร, วันที่, แหล่งอ้างอิง, และผลตรวจทางวิทยาศาสตร์) สรุปเป็นสำนวนคดีส่งมอบให้โรงเรียนและชุมชน",Master Detective Comprehensive Verdict,TRUE,2026-08-16T03:42:43.441Z
ภูมิ,SD-88H7G,m2,q08_e1,E1,ev_06_poom_scm205,REASON,การอ้างอิงผลตรวจแล็บ อย.,ผลการตรวจทางห้องปฏิบัติการของ อย. ยืนยันว่าน้ำดังกล่าวไม่มีสารออกฤทธิ์ทางยาและไม่ผ่านเกณฑ์มาตรฐาน,SC-M2-05,TRUE,2026-08-15T14:25:30.600Z
Tectid,SD-AXTTJ,m3,q10_m3,S3,ev_07_tete_scm306,DECISION,การตัดสินใจปฏิเสธการแชร์ข้อมูล,ตัดสินใจไม่แชร์ต่อและแจ้งเตือนผู้ส่ง เพราะยังไม่มีงานวิจัยทางคลินิกที่ผ่านการรับรองทางวิทยาศาสตร์,SC-M3-06,TRUE,2026-08-15T14:29:45.920Z
Andrey,SD-C3JUV,m1,q14_g1,G1,ev_08_and_sc04,REVISION,การปรับความเข้าใจเรื่องความสัมพันธ์ทางสถิติ,เดิมเข้าใจว่านอนน้อยทำให้ทุกคนอ้วนแน่นอน แต่หลักฐานระบุว่าเป็นเพียงความสัมพันธ์เชิงสถิติไม่ใช่ข้อสรุปเบ็ดเสร็จ,SC04,TRUE,2026-08-15T13:27:10.500Z
ข้าว,SD-HJF6X,m2,q12_m2,E2,ev_09_khaw_scm207,PROCESS,ขั้นตอนการตรวจสอบเลขสารบบอาหาร,นำเลข อย. บนฉลากไปตรวจสอบในฐานข้อมูลระบบสืบค้น อย. พบว่าเป็นเลขปลอมที่สวมทะเบียนของผลิตภัณฑ์อื่น,SC-M2-07,TRUE,2026-08-15T14:04:55.700Z
ข้าว,SD-HJF6X,m4,q04_m4,E3,ev_10_khaw_scm402,STUDENT_VOICE,การสะท้อนคิดเรื่องการเตือนเพื่อนในกลุ่ม,เตือนเพื่อนในกลุ่มแชตห้องเรียนด้วยข้อเท็จจริงและท่าทีสุภาพ พร้อมแนบลิงก์บทความทางการจาก สสส. ประกอบ,SC-M4-02,TRUE,2026-08-15T14:14:22.330Z
Fino,SD-JCC9U,m3,q05_m3,T3,ev_11_fino_scm304,CLAIM,การแยกข้อเท็จจริงออกจากความคิดเห็น,ข้อความที่รีวิวว่าดื่มแล้วหายเหนื่อยทันทีเป็นความรู้สึกเฉพาะบุคคล ไม่สามารถใช้เป็นข้อเท็จจริงทางการแพทย์ได้,SC-M3-04,TRUE,2026-08-15T14:09:12.800Z
Snack,SD-PLTRN,m2,q11_m2,C3,ev_12_snk_scm204,AUTHOR,ผู้เผยแพร่ คณะเภสัชศาสตร์ ม.มหิดล,บทความเขียนโดยอาจารย์ประจำคณะเภสัชศาสตร์ ซึ่งมีความรู้เชี่ยวชาญตรงด้านการประเมินความปลอดภัยของสารอาหาร,SC-M2-04,TRUE,2026-08-15T13:34:40.110Z
Snack,SD-PLTRN,m4,q15_m4,G2,ev_13_snk_scm408,REVISION,การยอมรับข้อผิดพลาดเมื่อพบหลักฐานใหม่,ยอมรับว่าข่าวการหยุดเรียนที่เคยหลงเชื่อเป็นข้อมูลเก่าที่ถูกตัดต่อวันที่ จึงลบโพสต์และแจ้งข้อเท็จจริงใหม่,SC-M4-08,TRUE,2026-08-15T13:46:50.450Z
Ilrey,SD-XDLM6,m1,q04_t4,T4,ev_14_ilr_sc03,SOURCE,การพิจารณาบริบทช่วงวัยและสุขอนามัย,ความต้องการชั่วโมงการนอนแปรผันตามอายุ วัยรุ่นต้องการ 8-10 ชม. ขณะที่ผู้ใหญ่ต้องการ 7-9 ชม.,SC03,TRUE,2026-08-15T13:23:55.200Z
Ilrey,SD-XDLM6,m4,q16_m4,G4,ev_15_ilr_scm410,DECISION,แผนการตรวจสอบข้อมูลก่อนส่งต่อในชีวิตประจำวัน,กำหนดแนวทาง 3 ขั้นตอนส่วนตัว: 1) เช็กชื่อผู้ส่ง 2) เทียบกับข่าวหลัก 3) ดูวันที่ ก่อนกดแชร์ในโซเชียลมีเดีย,SC-M4-10,TRUE,2026-08-15T13:47:35.800Z
