student_id,alias,evidence_id,mission_id,question_id,indicator_id,evidence_type,title,content,source_tag,is_verified,score,max_score,timestamp
SD-68QME,Max,ev_05_max_scm302,m3,q07_m3,C4,COMPARISON,เปรียบเทียบภาพต้นฉบับกับภาพแชร์,พบร่องรอยการตัดต่อเงาและปรับแต่งแสงในภาพขวดน้ำวิเศษ ทำให้ข้ออ้างรักษาทุกโรคขาดความน่าเชื่อถือ,SC-M3-02,TRUE,4,4,2026-08-15T13:41:20.150Z
SD-68QME,Max,ev_m2_1786851763441_03,m2,q7_doctor,C3,REASON,SC06: ข้อเท็จจริงและคำเตือนจากแพทย์ผู้เชี่ยวชาญ,แพทย์ผู้เชี่ยวชาญระบุว่าการดื่มน้ำหมักที่ไม่ผ่านการฆ่าเชื้ออาจทำให้ติดเชื้อในกระแสเลือด กรดเกินในกระเพาะ และเป็นอันตรายร้ายแรงถึงชีวิต,แถลงการณ์กรมการแพทย์และสมาคมมะเร็งวิทยา,TRUE,10,10,2026-08-15T17:42:43.441Z
SD-68QME,Max,ev_m2_1786851763441_04,m2,q8_revision,C4,REVISION,การปรับเปลี่ยนข้อสรุปหลังได้รับข้อมูลผลตรวจแล็บ,ตอนแรกเชื่อว่าอาจเป็นสมุนไพรพื้นบ้านที่ปลอดภัย แต่เมื่อเห็นผลตรวจแล็บที่พบสารปนเปื้อนโลหะหนักและเชื้อแบคทีเรีย จึงปรับข้อสรุปเป็นผลิตภัณฑ์อันตรายห้ามดื่มเด็ดขาด,Scientific Laboratory Report,TRUE,10,10,2026-08-15T18:42:43.441Z
SD-68QME,Max,ev_m3_1786851763441_03,m3,q11_account,E3,AUTHOR,SC09: ตรวจสอบบัญชีผู้โพสต์คลิปแฉในโซเชียลมีเดีย,บัญชีผู้โพสต์เป็นบัญชีอวตาร (Anonymous Account) สร้างขึ้นมาใหม่เพียง 2 ชั่วโมงก่อนปล่อยคลิป และไม่มีประวัติการโพสต์ข้อความอื่นใด,X (Twitter) Profile Forensic Audit,TRUE,10,10,2026-08-15T23:42:43.441Z
SD-68QME,Max,ev_m4_1786851763441_03,m4,q15_master,G1,DECISION,คำแถลงปิดคดีสืบสวนความจริงระดับปรมาจารย์ (Master Verdict),"สังเคราะห์ข้อมูลจาก 4 มิติ (ผู้ส่งสาร, วันที่, แหล่งอ้างอิง, และผลตรวจทางวิทยาศาสตร์) สรุปเป็นสำนวนคดีส่งมอบให้โรงเรียนและชุมชน",Master Detective Comprehensive Verdict,TRUE,10,10,2026-08-16T03:42:43.441Z
SD-88H7G,ภูมิ,ev_06_poom_scm205,m2,q08_e1,E1,REASON,การอ้างอิงผลตรวจแล็บ อย.,ผลการตรวจทางห้องปฏิบัติการของ อย. ยืนยันว่าน้ำดังกล่าวไม่มีสารออกฤทธิ์ทางยาและไม่ผ่านเกณฑ์มาตรฐาน,SC-M2-05,TRUE,4,4,2026-08-15T14:25:30.600Z
SD-AXTTJ,Tectid,ev_07_tete_scm306,m3,q10_m3,S3,DECISION,การตัดสินใจปฏิเสธการแชร์ข้อมูล,ตัดสินใจไม่แชร์ต่อและแจ้งเตือนผู้ส่ง เพราะยังไม่มีงานวิจัยทางคลินิกที่ผ่านการรับรองทางวิทยาศาสตร์,SC-M3-06,TRUE,4,4,2026-08-15T14:29:45.920Z
SD-C3JUV,Andrey,ev_08_and_sc04,m1,q14_g1,G1,REVISION,การปรับความเข้าใจเรื่องความสัมพันธ์ทางสถิติ,เดิมเข้าใจว่านอนน้อยทำให้ทุกคนอ้วนแน่นอน แต่หลักฐานระบุว่าเป็นเพียงความสัมพันธ์เชิงสถิติไม่ใช่ข้อสรุปเบ็ดเสร็จ,SC04,TRUE,4,4,2026-08-15T13:27:10.500Z
SD-HJF6X,ข้าว,ev_09_khaw_scm207,m2,q12_m2,E2,PROCESS,ขั้นตอนการตรวจสอบเลขสารบบอาหาร,นำเลข อย. บนฉลากไปตรวจสอบในฐานข้อมูลระบบสืบค้น อย. พบว่าเป็นเลขปลอมที่สวมทะเบียนของผลิตภัณฑ์อื่น,SC-M2-07,TRUE,4,4,2026-08-15T14:04:55.700Z
SD-HJF6X,ข้าว,ev_10_khaw_scm402,m4,q04_m4,E3,STUDENT_VOICE,การสะท้อนคิดเรื่องการเตือนเพื่อนในกลุ่ม,เตือนเพื่อนในกลุ่มแชตห้องเรียนด้วยข้อเท็จจริงและท่าทีสุภาพ พร้อมแนบลิงก์บทความทางการจาก สสส. ประกอบ,SC-M4-02,TRUE,4,4,2026-08-15T14:14:22.330Z
SD-JCC9U,Fino,ev_11_fino_scm304,m3,q05_m3,T3,CLAIM,การแยกข้อเท็จจริงออกจากความคิดเห็น,ข้อความที่รีวิวว่าดื่มแล้วหายเหนื่อยทันทีเป็นความรู้สึกเฉพาะบุคคล ไม่สามารถใช้เป็นข้อเท็จจริงทางการแพทย์ได้,SC-M3-04,TRUE,4,4,2026-08-15T14:09:12.800Z
SD-PLTRN,Snack,ev_12_snk_scm204,m2,q11_m2,C3,AUTHOR,ผู้เผยแพร่ คณะเภสัชศาสตร์ ม.มหิดล,บทความเขียนโดยอาจารย์ประจำคณะเภสัชศาสตร์ ซึ่งมีความรู้เชี่ยวชาญตรงด้านการประเมินความปลอดภัยของสารอาหาร,SC-M2-04,TRUE,4,4,2026-08-15T13:34:40.110Z
SD-PLTRN,Snack,ev_13_snk_scm408,m4,q15_m4,G2,REVISION,การยอมรับข้อผิดพลาดเมื่อพบหลักฐานใหม่,ยอมรับว่าข่าวการหยุดเรียนที่เคยหลงเชื่อเป็นข้อมูลเก่าที่ถูกตัดต่อวันที่ จึงลบโพสต์และแจ้งข้อเท็จจริงใหม่,SC-M4-08,TRUE,4,4,2026-08-15T13:46:50.450Z
SD-XDLM6,Ilrey,ev_14_ilr_sc03,m1,q04_t4,T4,SOURCE,การพิจารณาบริบทช่วงวัยและสุขอนามัย,ความต้องการชั่วโมงการนอนแปรผันตามอายุ วัยรุ่นต้องการ 8-10 ชม. ขณะที่ผู้ใหญ่ต้องการ 7-9 ชม.,SC03,TRUE,4,4,2026-08-15T13:23:55.200Z
SD-XDLM6,Ilrey,ev_15_ilr_scm410,m4,q16_m4,G4,DECISION,แผนการตรวจสอบข้อมูลก่อนส่งต่อในชีวิตประจำวัน,กำหนดแนวทาง 3 ขั้นตอนส่วนตัว: 1) เช็กชื่อผู้ส่ง 2) เทียบกับข่าวหลัก 3) ดูวันที่ ก่อนกดแชร์ในโซเชียลมีเดีย,SC-M4-10,TRUE,4,4,2026-08-15T13:47:35.800Z
